"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.04 11:00:00";"1.61414";"0.22";"2003.08.04 16:22:00";"1.60974";"-97.90";"9902.10";"IS";"SL";"-96.80";"8.58";"5h 22m";""
"2";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.11 16:00:00";"1.60258";"0.22";"2003.08.11 19:03:00";"1.60769";"111.32";"10013.42";"IS";"PT";"-33.22";"112.42";"3h 3m";""
"3";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.13 12:00:00";"1.60250";"0.24";"2003.08.13 17:00:00";"1.60715";"110.40";"10123.82";"IS";"PT";"-37.68";"111.60";"5h 0m";""
"4";"GBPUSD_DukasM1_the5ers";"Buy";"2003.08.28 16:00:00";"1.57091";"0.2";"2003.08.28 17:02:00";"1.57663";"113.40";"10237.22";"IS";"PT";"-1.80";"114.40";"1h 2m";""
"5";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.02 18:00:00";"1.57123";"0.21";"2003.09.02 23:10:00";"1.56666";"-97.52";"10139.70";"IS";"SL";"-95.97";"73.71";"5h 10m";""
"6";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.03 17:00:00";"1.56958";"0.19";"2003.09.03 20:05:00";"1.57546";"110.77";"10250.47";"IS";"PT";"-31.92";"111.72";"3h 5m";""
"7";"GBPUSD_DukasM1_the5ers";"Buy";"2003.09.29 18:00:00";"1.66175";"0.17";"2003.09.30 04:31:00";"1.66842";"112.14";"10362.61";"IS";"PT";"-9.35";"113.39";"10h 31m";""
"8";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.01 18:00:00";"1.66603";"0.14";"2003.10.02 18:45:00";"1.67413";"111.71";"10474.32";"IS";"PT";"-51.38";"113.40";"1d 0h 45m";""
"9";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.20 10:00:00";"1.67890";"0.19";"2003.10.20 12:36:00";"1.67372";"-99.37";"10374.95";"IS";"SL";"-98.42";"9.31";"2h 36m";""
"10";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.27 13:00:00";"1.69673";"0.22";"2003.10.27 14:43:00";"1.69228";"-99.00";"10275.95";"IS";"SL";"-97.90";"0.44";"1h 43m";""
"11";"GBPUSD_DukasM1_the5ers";"Buy";"2003.10.28 18:00:00";"1.69393";"0.21";"2003.10.28 21:21:00";"1.69932";"112.14";"10388.09";"IS";"PT";"-22.89";"113.19";"3h 21m";""
"12";"GBPUSD_DukasM1_the5ers";"Buy";"2003.11.07 18:00:00";"1.66925";"0.17";"2003.11.07 23:58:00";"1.67603";"114.01";"10502.10";"IS";"PT";"-7.31";"115.26";"5h 58m";""
"13";"GBPUSD_DukasM1_the5ers";"Buy";"2003.11.12 05:00:00";"1.67055";"0.23";"2003.11.12 14:52:00";"1.67552";"113.16";"10615.26";"IS";"PT";"-47.15";"114.31";"9h 52m";""
"14";"GBPUSD_DukasM1_the5ers";"Buy";"2003.12.04 16:00:00";"1.72693";"0.23";"2003.12.04 16:36:00";"1.72268";"-98.90";"10516.36";"IS";"SL";"-97.75";"34.50";"36m 0s";""
"15";"GBPUSD_DukasM1_the5ers";"Buy";"2004.01.08 16:00:00";"1.83118";"0.15";"2004.01.09 13:25:00";"1.83855";"109.45";"10625.81";"IS";"PT";"-54.90";"110.55";"21h 25m";""
"16";"GBPUSD_DukasM1_the5ers";"Buy";"2004.01.27 16:00:00";"1.81581";"0.13";"2004.01.27 18:21:00";"1.82431";"109.85";"10735.66";"IS";"PT";"-28.73";"110.50";"2h 21m";""
"17";"GBPUSD_DukasM1_the5ers";"Buy";"2004.01.30 16:00:00";"1.82005";"0.12";"2004.01.30 17:14:00";"1.81232";"-93.36";"10642.30";"IS";"SL";"-92.76";"13.92";"1h 14m";""
"18";"GBPUSD_DukasM1_the5ers";"Buy";"2004.03.05 16:00:00";"1.84033";"0.13";"2004.03.05 16:08:00";"1.84900";"112.06";"10754.36";"IS";"PT";"-0.39";"112.71";"8m 0s";""
"19";"GBPUSD_DukasM1_the5ers";"Buy";"2004.03.11 15:00:00";"1.80597";"0.12";"2004.03.12 05:57:00";"1.79778";"-99.16";"10655.19";"IS";"SL";"-98.28";"105.36";"14h 57m";""
"20";"GBPUSD_DukasM1_the5ers";"Buy";"2004.03.29 12:00:00";"1.81615";"0.14";"2004.03.30 11:51:00";"1.82430";"113.07";"10768.26";"IS";"PT";"-35.00";"114.10";"23h 51m";""
"21";"GBPUSD_DukasM1_the5ers";"Buy";"2004.04.12 12:00:00";"1.83386";"0.24";"2004.04.12 20:59:00";"1.83857";"111.84";"10880.10";"IS";"PT";"-64.56";"113.04";"8h 59m";""
"22";"GBPUSD_DukasM1_the5ers";"Buy";"2004.04.29 17:00:00";"1.77486";"0.13";"2004.04.30 10:37:00";"1.76763";"-94.95";"10785.16";"IS";"SL";"-93.99";"79.43";"17h 37m";""
"23";"GBPUSD_DukasM1_the5ers";"Buy";"2004.05.07 13:00:00";"1.79531";"0.17";"2004.05.07 15:28:00";"1.80203";"113.39";"10898.55";"IS";"PT";"-22.44";"114.24";"2h 28m";""
