"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"USDJPY_DukasM1_the5ers";"Buy";"2004.01.20 12:00:00";"107.490";"0.29";"2004.01.20 22:00:00";"107.030";"-88.68";"9911.32";"IS";"TrailingStop";"-87.23";"79.65";"10h 0m";""
"2";"USDJPY_DukasM1_the5ers";"Buy";"2004.03.04 11:00:00";"110.395";"0.39";"2004.03.04 21:00:00";"111.102";"178.36";"10089.67";"IS";"PT";"0.00";"180.31";"10h 0m";""
"3";"USDJPY_DukasM1_the5ers";"Buy";"2004.03.05 18:00:00";"111.345";"0.38";"2004.03.05 20:00:00";"112.069";"178.01";"10267.68";"IS";"PT";"0.00";"179.91";"2h 0m";""
"4";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.13 16:00:00";"106.621";"0.31";"2004.04.14 14:00:00";"107.510";"178.46";"10446.14";"IS";"PT";"-34.66";"180.21";"22h 0m";""
"5";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.21 01:00:00";"108.900";"0.25";"2004.04.21 17:00:00";"108.932";"3.98";"10450.12";"IS";"TrailingStop";"-62.12";"142.23";"16h 0m";""
"6";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.23 03:00:00";"109.810";"0.28";"2004.04.23 09:00:00";"109.270";"-100.27";"10349.85";"IS";"SL";"-98.87";"0.92";"6h 0m";""
"7";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.27 15:00:00";"109.810";"0.34";"2004.04.27 18:00:00";"109.363";"-101.08";"10248.77";"IS";"SL";"-99.38";"13.34";"3h 0m";""
"8";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.28 17:00:00";"109.810";"0.29";"2004.04.29 12:00:00";"110.753";"176.81";"10425.57";"IS";"PT";"-28.45";"178.83";"19h 0m";""
"9";"USDJPY_DukasM1_the5ers";"Buy";"2004.05.03 20:00:00";"110.700";"0.32";"2004.05.03 22:00:00";"110.227";"-100.58";"10325.00";"IS";"SL";"-98.98";"4.19";"2h 0m";""
"10";"USDJPY_DukasM1_the5ers";"Buy";"2004.05.13 08:00:00";"114.020";"0.27";"2004.05.14 16:00:00";"114.166";"24.25";"10349.25";"IS";"TrailingStop";"-47.67";"150.43";"1d 8h 0m";""
"11";"USDJPY_DukasM1_the5ers";"Buy";"2004.06.15 11:00:00";"111.370";"0.28";"2004.06.15 15:00:00";"110.838";"-98.81";"10250.44";"IS";"SL";"-97.41";"7.32";"4h 0m";""
"12";"USDJPY_DukasM1_the5ers";"Buy";"2004.07.27 16:00:00";"110.145";"0.36";"2004.07.27 17:00:00";"110.897";"175.23";"10425.67";"IS";"PT";"0.00";"177.03";"1h 0m";""
"13";"USDJPY_DukasM1_the5ers";"Buy";"2004.09.03 18:00:00";"110.325";"0.36";"2004.09.06 10:00:00";"110.130";"-47.94";"10377.73";"IS";"TrailingStop";"-45.91";"87.10";"2d 16h 0m";""
"14";"USDJPY_DukasM1_the5ers";"Buy";"2004.09.22 12:00:00";"110.270";"0.41";"2004.09.23 14:00:00";"110.428";"39.51";"10417.24";"IS";"TrailingStop";"0.00";"176.95";"1d 2h 0m";""
"15";"USDJPY_DukasM1_the5ers";"Buy";"2004.09.24 16:00:00";"110.820";"0.38";"2004.09.28 09:00:00";"111.542";"177.01";"10594.25";"IS";"PT";"-99.40";"179.41";"3d 17h 0m";""
"16";"USDJPY_DukasM1_the5ers";"Buy";"2005.01.04 17:00:00";"104.140";"0.31";"2005.01.05 15:00:00";"104.154";"1.09";"10595.33";"IS";"TrailingStop";"-4.05";"176.36";"22h 0m";""
"17";"USDJPY_DukasM1_the5ers";"Buy";"2005.01.06 10:00:00";"104.860";"0.26";"2005.01.07 09:00:00";"104.461";"-69.31";"10526.03";"IS";"TrailingStop";"-67.84";"54.41";"23h 0m";""
"18";"USDJPY_DukasM1_the5ers";"Buy";"2005.01.07 19:00:00";"105.045";"0.28";"2005.01.07 21:00:00";"104.511";"-99.17";"10426.85";"IS";"SL";"-97.77";"13.73";"2h 0m";""
"19";"USDJPY_DukasM1_the5ers";"Buy";"2005.02.07 01:00:00";"104.625";"0.32";"2005.02.07 02:00:00";"104.153";"-100.37";"10326.48";"IS";"SL";"-98.77";"0.84";"1h 0m";""
"20";"USDJPY_DukasM1_the5ers";"Buy";"2005.02.09 16:00:00";"105.835";"0.37";"2005.02.10 15:00:00";"106.583";"178.40";"10504.89";"IS";"PT";"-88.31";"180.98";"23h 0m";""
"21";"USDJPY_DukasM1_the5ers";"Buy";"2005.03.22 21:00:00";"105.355";"0.44";"2005.03.23 19:00:00";"105.978";"176.76";"10681.65";"IS";"PT";"-32.80";"179.25";"22h 0m";""
"22";"USDJPY_DukasM1_the5ers";"Buy";"2005.03.30 11:00:00";"107.531";"0.35";"2005.03.31 03:00:00";"107.116";"-97.42";"10584.23";"IS";"TrailingStop";"-94.98";"29.52";"16h 0m";""
"23";"USDJPY_DukasM1_the5ers";"Buy";"2005.04.01 18:00:00";"107.580";"0.33";"2005.04.04 18:00:00";"108.415";"178.32";"10762.55";"IS";"PT";"-19.21";"180.19";"3d 0h 0m";""
"24";"USDJPY_DukasM1_the5ers";"Buy";"2005.04.06 15:00:00";"108.741";"0.36";"2005.04.07 09:00:00";"108.327";"-99.97";"10662.59";"IS";"TrailingStop";"-97.46";"11.77";"18h 0m";""
"25";"USDJPY_DukasM1_the5ers";"Buy";"2005.05.11 15:00:00";"105.865";"0.46";"2005.05.12 15:00:00";"106.459";"175.47";"10838.06";"IS";"PT";"-94.75";"178.68";"1d 0h 0m";""
"26";"USDJPY_DukasM1_the5ers";"Buy";"2005.05.20 14:00:00";"107.695";"0.46";"2005.05.23 02:00:00";"108.296";"178.18";"11016.24";"IS";"PT";"-30.98";"180.78";"2d 12h 0m";""
"27";"USDJPY_DukasM1_the5ers";"Buy";"2005.06.15 15:00:00";"109.580";"0.42";"2005.06.15 16:00:00";"109.218";"-101.52";"10914.72";"IS";"SL";"-99.42";"43.94";"1h 0m";""
"28";"USDJPY_DukasM1_the5ers";"Buy";"2005.06.20 18:00:00";"109.580";"0.36";"2005.06.20 21:00:00";"109.158";"-101.14";"10813.58";"IS";"SL";"-99.34";"7.06";"3h 0m";""
"29";"USDJPY_DukasM1_the5ers";"Buy";"2005.06.30 11:00:00";"110.500";"0.38";"2005.07.01 09:00:00";"111.213";"175.02";"10988.60";"IS";"PT";"-17.39";"177.17";"22h 0m";""
"30";"USDJPY_DukasM1_the5ers";"Buy";"2005.07.08 03:00:00";"112.285";"0.35";"2005.07.08 16:00:00";"112.038";"-58.28";"10930.32";"IS";"TrailingStop";"-56.53";"56.30";"13h 0m";""
"31";"USDJPY_DukasM1_the5ers";"Buy";"2005.07.08 19:00:00";"112.373";"0.38";"2005.07.11 04:00:00";"111.973";"-101.54";"10828.78";"IS";"SL";"-99.40";"0.25";"2d 9h 0m";""
