Date,Time,Open,High,Low,Close,Volume,DayOfWeek,DayName,WeekendGap,WeekendGapPct
2003-05-06,00:00:00,1.60584,1.6186,1.60462,1.61343,134184056900,1,Tuesday,,
2003-05-07,00:00:00,1.61275,1.6161,1.59017,1.59591,134451522090,2,Wednesday,,
2003-05-08,00:00:00,1.59591,1.60773,1.592,1.60126,133992227020,3,Thursday,,
2003-05-09,00:00:00,1.60135,1.60934,1.60019,1.6037,135567353830,4,Friday,,
2003-05-12,00:00:00,1.60532,1.61429,1.60362,1.60879,136170596970,0,Monday,0.00162,0.10102
2003-05-13,00:00:00,1.6087,1.61148,1.60399,1.60875,135768023890,1,Tuesday,,
2003-05-14,00:00:00,1.60884,1.62087,1.60612,1.61729,135070977260,2,Wednesday,,
2003-05-15,00:00:00,1.61725,1.62734,1.6123,1.62102,134756685720,3,Thursday,,
2003-05-16,00:00:00,1.62062,1.62908,1.61772,1.62247,134406184790,4,Friday,,
2003-05-19,00:00:00,1.62542,1.63768,1.62477,1.63276,135533164100,0,Monday,0.00295,0.18182
2003-05-20,00:00:00,1.63278,1.64303,1.63033,1.64155,134975740720,1,Tuesday,,
2003-05-21,00:00:00,1.64138,1.64641,1.63492,1.63604,134617019760,2,Wednesday,,
2003-05-22,00:00:00,1.63609,1.63906,1.63116,1.63458,133934039840,3,Thursday,,
2003-05-23,00:00:00,1.63414,1.64481,1.63073,1.63572,134462496870,4,Friday,,
2003-05-26,00:00:00,1.63191,1.64139,1.6319,1.63704,134627426990,0,Monday,-0.00381,-0.23292
2003-05-27,00:00:00,1.6369,1.6465,1.63672,1.63771,135960647970,1,Tuesday,,
2003-05-28,00:00:00,1.6376,1.64344,1.63074,1.63908,133465844100,2,Wednesday,,
2003-05-29,00:00:00,1.63916,1.65447,1.63175,1.65209,134898381210,3,Thursday,,
2003-05-30,00:00:00,1.65175,1.65455,1.63477,1.63521,136221547920,4,Friday,,
2003-06-02,00:00:00,1.63,1.63938,1.62504,1.63704,126638148200,0,Monday,-0.00521,-0.31861
2003-06-03,00:00:00,1.63702,1.64208,1.62294,1.62778,134796733830,1,Tuesday,,
2003-06-04,00:00:00,1.6278,1.63416,1.62713,1.63026,136947823910,2,Wednesday,,
2003-06-05,00:00:00,1.63002,1.66183,1.62814,1.6585,133865780920,3,Thursday,,
2003-06-06,00:00:00,1.65838,1.67084,1.65418,1.66156,135227179900,4,Friday,,
2003-06-09,00:00:00,1.65956,1.66528,1.64243,1.64374,136420740940,0,Monday,-0.002,-0.12037
2003-06-10,00:00:00,1.64354,1.65736,1.64117,1.65155,134684881180,1,Tuesday,,
2003-06-11,00:00:00,1.65149,1.66977,1.64921,1.66638,135267479610,2,Wednesday,,
2003-06-12,00:00:00,1.66617,1.6787,1.66491,1.66788,135079973730,3,Thursday,,
2003-06-13,00:00:00,1.6679,1.67456,1.66308,1.67211,135730256820,4,Friday,,
2003-06-16,00:00:00,1.67222,1.68792,1.67066,1.67672,136865707110,0,Monday,0.00011,0.00658
2003-06-17,00:00:00,1.67631,1.68989,1.67528,1.68432,135474067070,1,Tuesday,,
2003-06-18,00:00:00,1.68426,1.68617,1.67491,1.67835,134016127960,2,Wednesday,,
2003-06-19,00:00:00,1.67827,1.68035,1.66849,1.67846,133868987640,3,Thursday,,
2003-06-20,00:00:00,1.6785,1.68195,1.65808,1.66096,134244464170,4,Friday,,
2003-06-23,00:00:00,1.662,1.6693,1.65535,1.66702,134099218070,0,Monday,0.00104,0.06261
2003-06-24,00:00:00,1.66705,1.67038,1.65871,1.66406,135706478060,1,Tuesday,,
2003-06-25,00:00:00,1.66406,1.67952,1.66049,1.67143,135382702030,2,Wednesday,,
2003-06-26,00:00:00,1.67161,1.67425,1.65913,1.66029,135104141200,3,Thursday,,
2003-06-27,00:00:00,1.66024,1.66298,1.64505,1.64838,135869064920,4,Friday,,
2003-06-30,00:00:00,1.64837,1.65676,1.64537,1.65488,135371040970,0,Monday,-1e-05,-0.00061
2003-07-01,00:00:00,1.65504,1.66501,1.65144,1.66208,133292644780,1,Tuesday,,
2003-07-02,00:00:00,1.66184,1.66671,1.65997,1.66284,134504767290,2,Wednesday,,
2003-07-03,00:00:00,1.66415,1.67394,1.66007,1.66781,134676718170,3,Thursday,,
2003-07-04,00:00:00,1.66759,1.67161,1.66467,1.66585,134423321950,4,Friday,,
2003-07-07,00:00:00,1.66711,1.66746,1.64707,1.64935,134400386880,0,Monday,0.00126,0.07564
2003-07-08,00:00:00,1.6492,1.65006,1.63136,1.63517,133621893880,1,Tuesday,,
2003-07-09,00:00:00,1.63511,1.63782,1.62742,1.63703,136946727180,2,Wednesday,,
2003-07-10,00:00:00,1.63726,1.63874,1.62169,1.63499,134147963950,3,Thursday,,
2003-07-11,00:00:00,1.63482,1.63803,1.62969,1.62989,133878923930,4,Friday,,
2003-07-14,00:00:00,1.63013,1.63074,1.6121,1.61237,136164927040,0,Monday,0.00024,0.01472
2003-07-15,00:00:00,1.61254,1.61452,1.58983,1.59199,133882300760,1,Tuesday,,
2003-07-16,00:00:00,1.59166,1.59625,1.58527,1.59525,134579289970,2,Wednesday,,
2003-07-17,00:00:00,1.59527,1.59907,1.5844,1.59569,135466996060,3,Thursday,,
2003-07-18,00:00:00,1.59556,1.59796,1.58237,1.58915,134944333950,4,Friday,,
2003-07-21,00:00:00,1.58953,1.60223,1.57715,1.59972,136521550990,0,Monday,0.00038,0.02391
2003-07-22,00:00:00,1.59954,1.6048,1.59454,1.59699,131572413820,1,Tuesday,,
2003-07-23,00:00:00,1.59683,1.6098,1.59241,1.60768,133519130920,2,Wednesday,,
2003-07-24,00:00:00,1.60808,1.61579,1.60571,1.61518,133007070950,3,Thursday,,
2003-07-25,00:00:00,1.61552,1.62338,1.61117,1.62009,136375890950,4,Friday,,
2003-07-28,00:00:00,1.61921,1.62871,1.61697,1.62527,135595487880,0,Monday,-0.00088,-0.05432
2003-07-29,00:00:00,1.625,1.63084,1.62107,1.62375,134507377040,1,Tuesday,,
2003-07-30,00:00:00,1.62361,1.62498,1.61451,1.61524,134534497990,2,Wednesday,,
2003-07-31,00:00:00,1.61555,1.617,1.60485,1.60933,133828121240,3,Thursday,,
