"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"GBPJPY_DukasM1_the5ers";"Buy";"2003.09.04 16:00:00";"184.257";"0.08";"2003.09.12 16:45:00";"188.196";"204.95";"10204.95";"IS";"PT";"-37.46";"206.06";"8d 0h 45m";""
"2";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.06 20:00:00";"185.383";"0.09";"2003.10.07 14:47:00";"183.759";"-96.13";"10108.82";"IS";"SL";"-95.58";"39.08";"18h 47m";""
"3";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.14 00:00:00";"181.463";"0.09";"2003.10.20 14:46:00";"184.969";"205.29";"10314.11";"IS";"PT";"-37.67";"206.34";"6d 14h 46m";""
"4";"GBPJPY_DukasM1_the5ers";"Buy";"2003.10.23 16:00:00";"185.131";"0.1";"2003.10.27 11:59:00";"183.673";"-96.07";"10218.04";"IS";"SL";"-95.34";"80.30";"3d 19h 59m";""
"5";"GBPJPY_DukasM1_the5ers";"Buy";"2003.11.17 12:00:00";"184.603";"0.1";"2003.11.19 11:42:00";"183.113";"-98.16";"10119.88";"IS";"SL";"-97.43";"14.97";"1d 23h 42m";""
"6";"GBPJPY_DukasM1_the5ers";"Buy";"2003.11.20 00:00:00";"185.452";"0.09";"2003.11.26 00:00:00";"185.753";"16.86";"10136.74";"IS";"Exit Signal";"-52.56";"78.27";"6d 0h 0m";""
"7";"GBPJPY_DukasM1_the5ers";"Buy";"2003.11.28 16:00:00";"188.497";"0.11";"2003.12.03 13:08:00";"187.200";"-94.21";"10042.53";"IS";"SL";"-93.30";"80.56";"4d 21h 8m";""
"8";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.10 20:00:00";"189.023";"0.1";"2003.12.15 19:13:00";"187.540";"-98.04";"9944.49";"IS";"SL";"-96.98";"9.29";"4d 23h 13m";""
"9";"GBPJPY_DukasM1_the5ers";"Buy";"2003.12.31 20:00:00";"191.633";"0.1";"2004.01.01 12:21:00";"190.239";"-91.99";"9852.50";"IS";"SL";"-91.16";"19.42";"16h 21m";""
"10";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.06 20:00:00";"193.596";"0.08";"2004.01.09 07:25:00";"197.532";"205.06";"10057.56";"IS";"PT";"-77.06";"205.91";"2d 11h 25m";""
"11";"GBPJPY_DukasM1_the5ers";"Buy";"2004.01.20 20:00:00";"195.108";"0.08";"2004.01.23 18:53:00";"193.241";"-98.52";"9959.04";"IS";"SL";"-97.67";"70.47";"2d 22h 53m";""
"12";"GBPJPY_DukasM1_the5ers";"Buy";"2004.02.03 20:00:00";"193.854";"0.08";"2004.02.05 04:00:00";"193.192";"-35.39";"9923.65";"IS";"Exit Signal";"-49.75";"12.08";"1d 8h 0m";""
"13";"GBPJPY_DukasM1_the5ers";"Buy";"2004.02.06 16:00:00";"195.816";"0.09";"2004.02.11 23:13:00";"199.276";"202.58";"10126.23";"IS";"PT";"-85.10";"203.63";"5d 7h 13m";""
