"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"AUDJPY_DukasM1_the5ers";"Buy";"2003.12.11 10:00:00";"79.757";"0.35";"2003.12.17 17:33:00";"79.321";"-101.91";"9898.09";"IS";"SL";"-99.79";"96.58";"6d 7h 33m";""
"2";"AUDJPY_DukasM1_the5ers";"Buy";"2004.02.23 11:00:00";"83.517";"0.25";"2004.02.24 18:13:00";"84.403";"143.53";"10041.61";"IS";"PT";"-35.15";"144.84";"1d 7h 13m";""
"3";"AUDJPY_DukasM1_the5ers";"Buy";"2004.03.31 10:00:00";"78.908";"0.26";"2004.03.31 20:43:00";"79.740";"140.16";"10181.77";"IS";"PT";"-56.62";"141.46";"10h 43m";""
"4";"AUDJPY_DukasM1_the5ers";"Buy";"2005.01.17 01:00:00";"77.356";"0.32";"2005.01.19 10:26:00";"78.043";"141.99";"10323.76";"IS";"PT";"-86.00";"143.76";"2d 9h 26m";""
"5";"AUDJPY_DukasM1_the5ers";"Buy";"2005.01.20 10:00:00";"78.013";"0.33";"2005.01.21 09:28:00";"78.668";"139.61";"10463.36";"IS";"PT";"-31.72";"141.35";"23h 28m";""
"6";"AUDJPY_DukasM1_the5ers";"Buy";"2005.04.18 01:00:00";"82.735";"0.39";"2005.04.18 09:07:00";"82.343";"-101.92";"10361.44";"IS";"SL";"-99.97";"11.48";"8h 7m";""
"7";"AUDJPY_DukasM1_the5ers";"Buy";"2005.04.18 11:00:00";"82.553";"0.38";"2005.04.18 18:12:00";"82.149";"-102.29";"10259.15";"IS";"SL";"-100.39";"11.43";"7h 12m";""
"8";"AUDJPY_DukasM1_the5ers";"Buy";"2005.04.18 19:00:00";"82.268";"0.36";"2005.04.20 15:30:00";"82.876";"141.14";"10400.29";"IS";"PT";"-54.62";"143.13";"1d 20h 30m";""
"9";"AUDJPY_DukasM1_the5ers";"Buy";"2005.10.11 10:00:00";"86.408";"0.45";"2005.10.11 14:15:00";"86.070";"-101.71";"10298.58";"IS";"SL";"-99.46";"5.59";"4h 15m";""
"10";"AUDJPY_DukasM1_the5ers";"Buy";"2005.10.31 01:00:00";"86.660";"0.38";"2005.11.07 05:11:00";"86.263";"-101.26";"10197.31";"IS";"SL";"-98.65";"124.25";"7d 4h 11m";""
"11";"AUDJPY_DukasM1_the5ers";"Buy";"2005.12.07 10:00:00";"90.294";"0.39";"2005.12.08 05:31:00";"89.901";"-102.49";"10094.82";"IS";"SL";"-100.23";"65.29";"19h 31m";""
"12";"AUDJPY_DukasM1_the5ers";"Buy";"2006.02.13 01:00:00";"86.736";"0.35";"2006.02.17 04:05:00";"87.365";"141.65";"10236.47";"IS";"PT";"-95.67";"143.96";"4d 3h 5m";""
"13";"AUDJPY_DukasM1_the5ers";"Buy";"2006.03.20 01:00:00";"84.378";"0.32";"2006.03.20 08:34:00";"83.911";"-99.32";"10137.15";"IS";"SL";"-97.72";"20.09";"7h 34m";""
"14";"AUDJPY_DukasM1_the5ers";"Buy";"2006.03.20 09:00:00";"83.834";"0.32";"2006.03.20 11:42:00";"83.364";"-99.95";"10037.20";"IS";"SL";"-98.35";"11.09";"2h 42m";""
"15";"AUDJPY_DukasM1_the5ers";"Buy";"2006.04.07 10:00:00";"86.048";"0.36";"2006.04.11 08:42:00";"86.660";"142.08";"10179.28";"IS";"PT";"-95.81";"144.07";"3d 22h 42m";""
"16";"AUDJPY_DukasM1_the5ers";"Buy";"2006.04.24 11:00:00";"85.943";"0.33";"2006.04.24 16:24:00";"85.483";"-100.92";"10078.36";"IS";"SL";"-99.27";"49.20";"5h 24m";""
"17";"AUDJPY_DukasM1_the5ers";"Buy";"2006.04.24 17:00:00";"85.347";"0.3";"2006.04.26 15:54:00";"86.065";"139.19";"10217.56";"IS";"PT";"-65.92";"140.86";"1d 22h 54m";""
"18";"AUDJPY_DukasM1_the5ers";"Buy";"2006.07.31 01:00:00";"87.902";"0.42";"2006.07.31 08:14:00";"87.535";"-102.90";"10114.66";"IS";"SL";"-100.80";"24.99";"7h 14m";""
"19";"AUDJPY_DukasM1_the5ers";"Buy";"2006.07.31 09:00:00";"87.528";"0.44";"2006.08.01 13:27:00";"87.185";"-101.01";"10013.65";"IS";"SL";"-98.69";"105.60";"1d 4h 27m";""
"20";"AUDJPY_DukasM1_the5ers";"Buy";"2007.01.08 01:00:00";"92.452";"0.31";"2007.01.09 10:33:00";"93.162";"142.30";"10155.95";"IS";"PT";"-91.83";"143.93";"1d 9h 33m";""
"21";"AUDJPY_DukasM1_the5ers";"Buy";"2007.01.12 10:00:00";"94.040";"0.36";"2007.01.15 11:15:00";"94.646";"140.76";"10296.71";"IS";"PT";"-75.10";"142.66";"3d 1h 15m";""
"22";"AUDJPY_DukasM1_the5ers";"Buy";"2007.01.19 10:00:00";"95.571";"0.37";"2007.01.23 11:57:00";"96.164";"141.43";"10438.14";"IS";"PT";"-75.49";"143.48";"4d 1h 57m";""
"23";"AUDJPY_DukasM1_the5ers";"Buy";"2007.02.22 10:00:00";"95.652";"0.37";"2007.02.27 09:03:00";"95.244";"-100.86";"10337.28";"IS";"SL";"-98.72";"65.81";"4d 23h 3m";""
"24";"AUDJPY_DukasM1_the5ers";"Buy";"2007.03.05 11:00:00";"89.486";"0.22";"2007.03.06 00:07:00";"88.809";"-98.55";"10238.72";"IS";"SL";"-97.40";"69.20";"13h 7m";""
"25";"AUDJPY_DukasM1_the5ers";"Buy";"2007.03.06 01:00:00";"88.536";"0.22";"2007.03.06 02:33:00";"89.519";"140.32";"10379.04";"IS";"PT";"-11.22";"141.42";"1h 33m";""
"26";"AUDJPY_DukasM1_the5ers";"Buy";"2007.03.06 03:00:00";"89.450";"0.2";"2007.03.07 01:22:00";"90.519";"138.76";"10517.80";"IS";"PT";"-6.93";"139.81";"22h 22m";""
"27";"AUDJPY_DukasM1_the5ers";"Buy";"2007.03.30 10:00:00";"95.151";"0.29";"2007.04.02 11:19:00";"95.898";"140.13";"10657.93";"IS";"PT";"-30.53";"141.66";"3d 1h 19m";""
"28";"AUDJPY_DukasM1_the5ers";"Buy";"2007.04.26 10:00:00";"98.978";"0.39";"2007.04.26 17:02:00";"98.592";"-100.39";"10557.54";"IS";"SL";"-98.44";"61.72";"7h 2m";""
"29";"AUDJPY_DukasM1_the5ers";"Buy";"2007.05.07 01:00:00";"98.633";"0.43";"2007.05.08 04:30:00";"99.148";"142.55";"10700.08";"IS";"PT";"-40.49";"144.81";"1d 3h 30m";""
"30";"AUDJPY_DukasM1_the5ers";"Buy";"2007.05.11 10:00:00";"99.488";"0.32";"2007.05.11 12:24:00";"99.014";"-100.79";"10599.29";"IS";"SL";"-99.19";"10.88";"2h 24m";""
"31";"AUDJPY_DukasM1_the5ers";"Buy";"2007.07.30 01:00:00";"100.308";"0.12";"2007.07.30 23:51:00";"102.087";"138.97";"10738.26";"IS";"PT";"-26.52";"139.60";"22h 51m";""
"32";"AUDJPY_DukasM1_the5ers";"Buy";"2007.07.31 00:00:00";"101.938";"0.13";"2007.07.31 23:02:00";"100.814";"-96.24";"10642.03";"IS";"SL";"-95.55";"75.83";"23h 2m";""
"33";"AUDJPY_DukasM1_the5ers";"Buy";"2007.08.06 11:00:00";"100.878";"0.2";"2007.08.06 22:15:00";"101.971";"141.95";"10783.97";"IS";"PT";"-27.20";"142.95";"11h 15m";""
"34";"AUDJPY_DukasM1_the5ers";"Buy";"2007.08.06 23:00:00";"102.218";"0.2";"2007.08.07 13:52:00";"101.453";"-101.10";"10682.87";"IS";"SL";"-100.05";"0.00";"14h 52m";""
"35";"AUDJPY_DukasM1_the5ers";"Buy";"2007.09.10 11:00:00";"93.158";"0.18";"2007.09.11 17:26:00";"94.367";"141.36";"10824.23";"IS";"PT";"-9.18";"142.31";"1d 6h 26m";""
"36";"AUDJPY_DukasM1_the5ers";"Buy";"2007.10.12 10:00:00";"105.728";"0.23";"2007.10.15 10:02:00";"106.660";"138.96";"10963.19";"IS";"PT";"-21.51";"140.18";"3d 0h 2m";""
"37";"AUDJPY_DukasM1_the5ers";"Buy";"2007.10.22 11:00:00";"100.978";"0.15";"2007.10.22 12:57:00";"99.976";"-99.03";"10864.16";"IS";"SL";"-98.28";"18.83";"1h 57m";""
"38";"AUDJPY_DukasM1_the5ers";"Buy";"2007.10.22 13:00:00";"99.778";"0.14";"2007.10.22 22:29:00";"101.322";"140.65";"11004.81";"IS";"PT";"-37.81";"141.35";"9h 29m";""
"39";"AUDJPY_DukasM1_the5ers";"Buy";"2007.10.22 23:00:00";"101.503";"0.12";"2007.10.23 21:32:00";"103.223";"134.34";"11139.15";"IS";"PT";"-20.64";"134.97";"22h 32m";""
"40";"AUDJPY_DukasM1_the5ers";"Buy";"2007.11.12 11:00:00";"98.783";"0.1";"2007.11.12 13:12:00";"97.271";"-99.37";"11039.77";"IS";"SL";"-98.87";"19.42";"2h 12m";""
"41";"AUDJPY_DukasM1_the5ers";"Buy";"2007.11.12 14:00:00";"96.663";"0.09";"2007.11.13 22:03:00";"98.956";"134.48";"11174.25";"IS";"PT";"-62.56";"134.95";"1d 8h 3m";""
"42";"AUDJPY_DukasM1_the5ers";"Buy";"2007.12.25 10:00:00";"99.358";"0.34";"2007.12.27 05:09:00";"100.003";"141.34";"11315.59";"IS";"PT";"-45.36";"143.41";"1d 19h 9m";""
"43";"AUDJPY_DukasM1_the5ers";"Buy";"2007.12.31 01:00:00";"98.718";"0.24";"2007.12.31 16:31:00";"98.099";"-98.35";"11217.24";"IS";"SL";"-97.15";"9.73";"15h 31m";""
"44";"AUDJPY_DukasM1_the5ers";"Buy";"2008.01.28 11:00:00";"93.828";"0.18";"2008.01.28 22:44:00";"95.034";"141.05";"11358.30";"IS";"PT";"-52.14";"141.95";"11h 44m";""
"45";"AUDJPY_DukasM1_the5ers";"Buy";"2008.01.28 23:00:00";"94.998";"0.17";"2008.01.30 21:24:00";"96.256";"138.91";"11497.20";"IS";"PT";"-73.15";"139.85";"1d 22h 24m";""
"46";"AUDJPY_DukasM1_the5ers";"Buy";"2008.02.26 10:00:00";"100.088";"0.28";"2008.02.29 01:39:00";"99.551";"-100.10";"11397.11";"IS";"SL";"-98.32";"75.44";"2d 15h 39m";""
"47";"AUDJPY_DukasM1_the5ers";"Buy";"2008.03.03 01:00:00";"95.988";"0.17";"2008.03.03 17:14:00";"97.268";"141.44";"11538.55";"IS";"PT";"-56.47";"142.29";"16h 14m";""
"48";"AUDJPY_DukasM1_the5ers";"Buy";"2008.03.03 18:00:00";"96.978";"0.16";"2008.03.04 06:24:00";"96.074";"-95.43";"11443.12";"IS";"SL";"-94.58";"54.62";"12h 24m";""
"49";"AUDJPY_DukasM1_the5ers";"Buy";"2008.03.04 07:00:00";"95.828";"0.16";"2008.03.04 18:43:00";"94.892";"-98.73";"11344.39";"IS";"SL";"-97.93";"77.63";"11h 43m";""
"50";"AUDJPY_DukasM1_the5ers";"Buy";"2008.03.17 11:00:00";"89.883";"0.09";"2008.03.18 21:10:00";"92.144";"132.59";"11476.98";"IS";"PT";"-84.93";"133.07";"1d 10h 10m";""
"51";"AUDJPY_DukasM1_the5ers";"Buy";"2008.03.19 10:00:00";"92.588";"0.13";"2008.03.19 10:50:00";"91.448";"-97.56";"11379.42";"IS";"SL";"-96.91";"2.72";"50m 0s";""
"52";"AUDJPY_DukasM1_the5ers";"Buy";"2008.04.08 10:00:00";"94.718";"0.26";"2008.04.08 23:50:00";"95.557";"141.28";"11520.70";"IS";"PT";"-90.62";"142.65";"13h 50m";""
"53";"AUDJPY_DukasM1_the5ers";"Buy";"2008.05.06 10:00:00";"99.218";"0.31";"2008.05.06 14:39:00";"98.734";"-99.66";"11421.04";"IS";"SL";"-98.11";"38.92";"4h 39m";""
"54";"AUDJPY_DukasM1_the5ers";"Buy";"2008.05.12 01:00:00";"96.908";"0.23";"2008.05.12 11:47:00";"97.843";"139.48";"11560.51";"IS";"PT";"-79.41";"140.63";"10h 47m";""
"55";"AUDJPY_DukasM1_the5ers";"Buy";"2008.05.28 10:00:00";"100.078";"0.36";"2008.05.28 15:32:00";"100.694";"143.21";"11703.73";"IS";"PT";"-43.08";"145.01";"5h 32m";""
"56";"AUDJPY_DukasM1_the5ers";"Buy";"2008.06.30 01:00:00";"102.038";"0.27";"2008.06.30 11:16:00";"101.472";"-101.28";"11602.44";"IS";"SL";"-99.93";"76.27";"10h 16m";""
"57";"AUDJPY_DukasM1_the5ers";"Buy";"2008.07.03 10:00:00";"102.078";"0.31";"2008.07.04 09:05:00";"102.790";"142.70";"11745.14";"IS";"PT";"-38.11";"144.33";"23h 5m";""
"58";"AUDJPY_DukasM1_the5ers";"Buy";"2008.07.18 10:00:00";"103.218";"0.31";"2008.07.21 00:12:00";"103.918";"140.27";"11885.41";"IS";"PT";"-20.88";"148.39";"2d 14h 12m";""
"59";"AUDJPY_DukasM1_the5ers";"Buy";"2008.08.04 01:00:00";"100.128";"0.31";"2008.08.04 13:58:00";"100.827";"140.15";"12025.56";"IS";"PT";"-62.44";"141.70";"12h 58m";""
"60";"AUDJPY_DukasM1_the5ers";"Buy";"2008.08.11 01:00:00";"97.818";"0.21";"2008.08.11 02:50:00";"97.116";"-97.45";"11928.11";"IS";"SL";"-96.40";"8.51";"1h 50m";""
"61";"AUDJPY_DukasM1_the5ers";"Buy";"2008.08.11 03:00:00";"97.038";"0.2";"2008.08.11 11:01:00";"98.109";"139.07";"12067.18";"IS";"PT";"-2.35";"140.07";"8h 1m";""
"62";"AUDJPY_DukasM1_the5ers";"Buy";"2008.09.01 01:00:00";"92.788";"0.25";"2008.09.01 10:41:00";"92.178";"-100.97";"11966.21";"IS";"SL";"-99.72";"68.99";"9h 41m";""
"63";"AUDJPY_DukasM1_the5ers";"Buy";"2008.09.01 11:00:00";"91.938";"0.23";"2008.09.02 09:18:00";"91.296";"-97.77";"11868.44";"IS";"SL";"-96.56";"77.01";"22h 18m";""
"64";"AUDJPY_DukasM1_the5ers";"Buy";"2008.09.08 01:00:00";"90.698";"0.1";"2008.09.08 12:32:00";"89.216";"-97.41";"11771.02";"IS";"SL";"-96.91";"6.67";"11h 32m";""
"65";"AUDJPY_DukasM1_the5ers";"Buy";"2008.09.29 01:00:00";"87.883";"0.18";"2008.09.29 10:17:00";"87.048";"-99.18";"11671.84";"IS";"SL";"-98.28";"120.30";"9h 17m";""
"66";"AUDJPY_DukasM1_the5ers";"Buy";"2008.10.13 01:00:00";"68.448";"0.05";"2008.10.13 04:47:00";"65.387";"-100.33";"11571.51";"IS";"SL";"-100.08";"6.11";"3h 47m";""
"67";"AUDJPY_DukasM1_the5ers";"Buy";"2008.10.13 05:00:00";"65.708";"0.05";"2008.10.13 21:32:00";"69.992";"139.82";"11711.33";"IS";"PT";"-3.37";"140.07";"16h 32m";""
"68";"AUDJPY_DukasM1_the5ers";"Buy";"2008.10.27 01:00:00";"57.388";"0.05";"2008.10.28 20:27:00";"61.239";"125.65";"11836.98";"IS";"PT";"-60.52";"125.91";"1d 19h 27m";""
"69";"AUDJPY_DukasM1_the5ers";"Buy";"2008.12.09 10:00:00";"60.598";"0.17";"2008.12.11 18:17:00";"61.882";"141.71";"11978.68";"IS";"PT";"-75.37";"142.74";"2d 8h 17m";""
"70";"AUDJPY_DukasM1_the5ers";"Buy";"2009.01.12 11:00:00";"62.088";"0.17";"2009.01.12 17:08:00";"61.203";"-99.23";"11879.45";"IS";"SL";"-98.38";"18.01";"6h 8m";""
"71";"AUDJPY_DukasM1_the5ers";"Buy";"2009.01.12 18:00:00";"61.083";"0.17";"2009.01.13 08:10:00";"60.184";"-100.83";"11778.62";"IS";"SL";"-99.94";"28.01";"14h 10m";""
"72";"AUDJPY_DukasM1_the5ers";"Buy";"2009.01.13 09:00:00";"60.313";"0.18";"2009.01.13 11:08:00";"59.505";"-96.01";"11682.61";"IS";"SL";"-95.11";"4.36";"2h 8m";""
"73";"AUDJPY_DukasM1_the5ers";"Buy";"2009.02.02 01:00:00";"57.043";"0.19";"2009.02.02 10:35:00";"56.253";"-99.10";"11583.50";"IS";"SL";"-98.15";"15.78";"9h 35m";""
"74";"AUDJPY_DukasM1_the5ers";"Buy";"2009.02.16 11:00:00";"59.673";"0.18";"2009.02.17 10:04:00";"58.852";"-97.59";"11485.92";"IS";"SL";"-96.64";"33.78";"23h 4m";""
"75";"AUDJPY_DukasM1_the5ers";"Buy";"2009.02.24 10:00:00";"61.758";"0.17";"2009.02.24 21:03:00";"63.008";"138.11";"11624.03";"IS";"PT";"-24.23";"138.96";"11h 3m";""
"76";"AUDJPY_DukasM1_the5ers";"Buy";"2009.03.02 01:00:00";"62.218";"0.17";"2009.03.02 02:22:00";"61.353";"-97.01";"11527.02";"IS";"SL";"-96.16";"0.22";"1h 22m";""
"77";"AUDJPY_DukasM1_the5ers";"Buy";"2009.03.02 03:00:00";"61.228";"0.16";"2009.03.03 08:05:00";"62.555";"138.00";"11665.02";"IS";"PT";"-21.76";"138.84";"1d 5h 5m";""
"78";"AUDJPY_DukasM1_the5ers";"Buy";"2009.05.01 10:00:00";"72.318";"0.18";"2009.05.04 06:03:00";"73.522";"140.77";"11805.79";"IS";"PT";"-55.68";"141.72";"2d 20h 3m";""
