"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"XAUUSD_DukasM1_Infinox";"Buy";"2003.08.13 20:00:00";"361.51";"0.21";"2003.08.19 10:46:00";"356.87";"-107.35";"9892.65";"IS";"SL";"-97.44";"106.78";"5d 14h 46m";""
"2";"XAUUSD_DukasM1_Infinox";"Buy";"2003.08.19 20:00:00";"361.78";"0.21";"2003.08.27 15:36:00";"367.85";"114.60";"10007.25";"IS";"PT";"-95.61";"127.47";"7d 19h 36m";""
"3";"XAUUSD_DukasM1_Infinox";"Buy";"2003.08.27 16:00:00";"370.30";"0.21";"2003.08.29 15:41:00";"376.46";"122.26";"10129.52";"IS";"PT";"-49.18";"129.36";"1d 23h 41m";""
"4";"XAUUSD_DukasM1_Infinox";"Buy";"2003.08.29 16:00:00";"374.89";"0.19";"2003.09.03 13:20:00";"369.81";"-101.63";"10027.89";"IS";"SL";"-96.52";"72.35";"4d 21h 20m";""
"5";"XAUUSD_DukasM1_Infinox";"Buy";"2003.09.22 04:00:00";"386.23";"0.2";"2003.09.25 17:28:00";"392.78";"122.49";"10150.38";"IS";"PT";"-77.62";"131.00";"3d 13h 28m";""
"6";"XAUUSD_DukasM1_Infinox";"Buy";"2003.12.05 20:00:00";"405.10";"0.2";"2003.12.10 16:49:00";"411.50";"122.27";"10272.66";"IS";"PT";"-23.24";"128.00";"4d 20h 49m";""
"7";"XAUUSD_DukasM1_Infinox";"Buy";"2004.01.08 16:00:00";"423.75";"0.18";"2004.01.14 15:40:00";"418.38";"-103.49";"10169.16";"IS";"SL";"-96.66";"84.76";"5d 23h 40m";""
"8";"XAUUSD_DukasM1_Infinox";"Buy";"2004.01.27 20:00:00";"410.33";"0.19";"2004.01.29 15:40:00";"405.07";"-106.95";"10062.21";"IS";"SL";"-99.94";"78.62";"1d 19h 40m";""
"9";"XAUUSD_DukasM1_Infinox";"Buy";"2004.02.06 16:00:00";"404.63";"0.18";"2004.02.12 02:06:00";"411.78";"119.30";"10181.51";"IS";"PT";"-63.09";"128.70";"5d 10h 6m";""
"10";"XAUUSD_DukasM1_Infinox";"Buy";"2004.03.05 16:00:00";"399.23";"0.18";"2004.03.17 20:25:00";"406.32";"112.75";"10294.26";"IS";"PT";"-94.12";"127.62";"12d 4h 25m";""
"11";"XAUUSD_DukasM1_Infinox";"Buy";"2004.03.18 00:00:00";"406.69";"0.21";"2004.03.18 19:22:00";"412.76";"126.42";"10420.68";"IS";"PT";"-35.87";"127.47";"19h 22m";""
"12";"XAUUSD_DukasM1_Infinox";"Buy";"2004.03.26 16:00:00";"421.99";"0.2";"2004.03.29 20:30:00";"417.12";"-100.04";"10320.64";"IS";"SL";"-97.40";"11.10";"3d 4h 30m";""
"13";"XAUUSD_DukasM1_Infinox";"Buy";"2004.06.18 16:00:00";"393.15";"0.2";"2004.06.24 15:19:00";"399.57";"118.23";"10438.86";"IS";"PT";"-28.30";"128.40";"5d 23h 19m";""
"14";"XAUUSD_DukasM1_Infinox";"Buy";"2004.08.03 20:00:00";"393.09";"0.21";"2004.08.06 15:53:00";"399.24";"120.07";"10558.94";"IS";"PT";"-76.31";"129.15";"2d 19h 53m";""
"15";"XAUUSD_DukasM1_Infinox";"Buy";"2004.08.06 16:00:00";"399.22";"0.21";"2004.08.11 12:01:00";"394.49";"-105.27";"10453.67";"IS";"SL";"-99.33";"29.29";"4d 20h 1m";""
"16";"XAUUSD_DukasM1_Infinox";"Buy";"2004.08.20 20:00:00";"412.73";"0.21";"2004.08.23 17:38:00";"408.09";"-100.18";"10353.49";"IS";"SL";"-97.44";"24.30";"2d 21h 38m";""
"17";"XAUUSD_DukasM1_Infinox";"Buy";"2004.10.08 16:00:00";"422.49";"0.21";"2004.10.12 11:12:00";"417.72";"-104.67";"10248.82";"IS";"SL";"-100.17";"14.47";"3d 19h 12m";""
"18";"XAUUSD_DukasM1_Infinox";"Buy";"2004.11.05 20:00:00";"432.79";"0.16";"2004.11.17 10:05:00";"440.79";"113.74";"10362.56";"IS";"PT";"-42.74";"128.00";"11d 14h 5m";""
"19";"XAUUSD_DukasM1_Infinox";"Buy";"2005.02.10 20:00:00";"417.56";"0.23";"2005.02.14 15:26:00";"423.11";"122.77";"10485.32";"IS";"PT";"-48.23";"127.65";"3d 19h 26m";""
"20";"XAUUSD_DukasM1_Infinox";"Buy";"2005.04.19 20:00:00";"432.25";"0.23";"2005.05.02 17:23:00";"428.02";"-123.57";"10361.75";"IS";"SL";"-97.29";"114.43";"12d 21h 23m";""
"21";"XAUUSD_DukasM1_Infinox";"Buy";"2005.06.02 20:00:00";"422.18";"0.23";"2005.06.13 16:08:00";"427.64";"107.44";"10469.19";"IS";"PT";"-40.00";"125.58";"10d 20h 8m";""
"22";"XAUUSD_DukasM1_Infinox";"Buy";"2005.08.11 20:00:00";"445.49";"0.24";"2005.08.15 12:11:00";"441.39";"-103.76";"10365.43";"IS";"SL";"-98.40";"93.02";"3d 16h 11m";""
"23";"XAUUSD_DukasM1_Infinox";"Buy";"2005.08.16 20:00:00";"445.49";"0.21";"2005.08.17 15:31:00";"440.75";"-102.41";"10263.02";"IS";"SL";"-99.54";"18.80";"19h 31m";""
"24";"XAUUSD_DukasM1_Infinox";"Buy";"2005.09.15 16:00:00";"453.17";"0.21";"2005.09.16 14:08:00";"459.26";"124.99";"10388.01";"IS";"PT";"-32.78";"127.89";"22h 8m";""
"25";"XAUUSD_DukasM1_Infinox";"Buy";"2005.10.21 20:00:00";"465.90";"0.17";"2005.10.25 19:22:00";"473.19";"120.00";"10508.01";"IS";"PT";"-65.54";"123.93";"3d 23h 22m";""
"26";"XAUUSD_DukasM1_Infinox";"Buy";"2005.11.16 20:00:00";"476.68";"0.2";"2005.11.17 15:41:00";"482.98";"119.44";"10627.45";"IS";"PT";"-6.68";"126.00";"19h 41m";""
"27";"XAUUSD_DukasM1_Infinox";"Buy";"2005.11.17 16:00:00";"484.68";"0.18";"2005.11.22 02:15:00";"491.78";"121.81";"10749.26";"IS";"PT";"-44.89";"127.80";"4d 10h 15m";""
"28";"XAUUSD_DukasM1_Infinox";"Buy";"2006.01.04 00:00:00";"534.02";"0.17";"2006.01.04 15:58:00";"528.18";"-100.13";"10649.13";"IS";"SL";"-99.28";"21.83";"15h 58m";""
"29";"XAUUSD_DukasM1_Infinox";"Buy";"2006.01.06 20:00:00";"538.68";"0.14";"2006.01.09 20:02:00";"547.67";"123.69";"10772.83";"IS";"PT";"-55.24";"125.86";"3d 0h 2m";""
"30";"XAUUSD_DukasM1_Infinox";"Buy";"2006.01.13 20:00:00";"556.14";"0.13";"2006.01.18 05:34:00";"548.70";"-101.59";"10671.24";"IS";"SL";"-96.72";"101.32";"4d 9h 34m";""
"31";"XAUUSD_DukasM1_Infinox";"Buy";"2006.03.24 20:00:00";"560.34";"0.14";"2006.03.28 17:21:00";"569.19";"120.15";"10791.39";"IS";"PT";"-40.39";"123.90";"3d 21h 21m";""
"32";"XAUUSD_DukasM1_Infinox";"Buy";"2006.03.29 20:00:00";"568.57";"0.14";"2006.03.30 11:06:00";"577.43";"118.70";"10910.08";"IS";"PT";"-13.36";"124.04";"15h 6m";""
"33";"XAUUSD_DukasM1_Infinox";"Buy";"2006.04.20 00:00:00";"639.66";"0.11";"2006.04.20 16:55:00";"630.90";"-96.91";"10813.17";"IS";"SL";"-96.36";"63.80";"16h 55m";""
"34";"XAUUSD_DukasM1_Infinox";"Buy";"2006.05.09 20:00:00";"697.24";"0.08";"2006.05.11 15:35:00";"712.90";"120.54";"10933.72";"IS";"PT";"-36.02";"125.28";"1d 19h 35m";""
"35";"XAUUSD_DukasM1_Infinox";"Buy";"2006.06.14 12:00:00";"565.73";"0.06";"2006.06.21 20:09:00";"584.83";"109.68";"11043.40";"IS";"PT";"-80.88";"114.60";"7d 8h 9m";""
"36";"XAUUSD_DukasM1_Infinox";"Buy";"2006.06.30 00:00:00";"598.96";"0.08";"2006.06.30 17:45:00";"613.77";"118.08";"11161.48";"IS";"PT";"-20.73";"118.48";"17h 45m";""
"37";"XAUUSD_DukasM1_Infinox";"Buy";"2006.07.19 20:00:00";"641.81";"0.06";"2006.07.20 22:57:00";"626.86";"-92.25";"11069.23";"IS";"SL";"-89.70";"18.00";"1d 2h 57m";""
"38";"XAUUSD_DukasM1_Infinox";"Buy";"2006.08.01 20:00:00";"646.20";"0.08";"2006.08.09 04:21:00";"634.75";"-100.04";"10969.19";"IS";"SL";"-91.60";"78.01";"7d 8h 21m";""
"39";"XAUUSD_DukasM1_Infinox";"Buy";"2006.10.13 16:00:00";"585.89";"0.11";"2006.10.17 02:34:00";"596.99";"119.04";"11088.23";"IS";"PT";"-32.32";"122.10";"3d 10h 34m";""
"40";"XAUUSD_DukasM1_Infinox";"Buy";"2006.10.19 20:00:00";"599.42";"0.12";"2006.10.20 18:29:00";"591.61";"-95.72";"10992.51";"IS";"SL";"-93.72";"31.85";"22h 29m";""
"41";"XAUUSD_DukasM1_Infinox";"Buy";"2006.10.24 20:00:00";"583.29";"0.12";"2006.10.26 15:51:00";"594.17";"124.52";"11117.03";"IS";"PT";"-52.92";"130.56";"1d 19h 51m";""
"42";"XAUUSD_DukasM1_Infinox";"Buy";"2006.11.03 20:00:00";"627.78";"0.11";"2006.11.08 14:33:00";"618.86";"-102.70";"11014.33";"IS";"SL";"-98.12";"16.87";"4d 18h 33m";""
"43";"XAUUSD_DukasM1_Infinox";"Buy";"2006.11.09 20:00:00";"632.18";"0.11";"2006.11.13 13:39:00";"623.36";"-100.27";"10914.06";"IS";"SL";"-97.02";"44.87";"3d 17h 39m";""
"44";"XAUUSD_DukasM1_Infinox";"Buy";"2006.12.28 16:00:00";"632.11";"0.19";"2007.01.02 10:39:00";"638.91";"121.24";"11035.30";"IS";"PT";"-19.70";"129.20";"4d 18h 39m";""
"45";"XAUUSD_DukasM1_Infinox";"Buy";"2007.01.12 20:00:00";"624.28";"0.12";"2007.01.18 10:28:00";"634.84";"117.38";"11152.68";"IS";"PT";"-59.00";"126.72";"5d 14h 28m";""
"46";"XAUUSD_DukasM1_Infinox";"Buy";"2007.02.21 20:00:00";"674.49";"0.12";"2007.02.23 16:30:00";"685.39";"123.90";"11276.59";"IS";"PT";"-30.96";"130.80";"1d 20h 30m";""
"47";"XAUUSD_DukasM1_Infinox";"Buy";"2007.05.03 20:00:00";"681.78";"0.15";"2007.05.04 17:58:00";"690.19";"123.41";"11400.00";"IS";"PT";"-35.36";"126.15";"21h 58m";""
"48";"XAUUSD_DukasM1_Infinox";"Buy";"2007.06.19 20:00:00";"660.80";"0.16";"2007.06.20 22:12:00";"654.76";"-99.50";"11300.50";"IS";"SL";"-96.64";"13.90";"1d 2h 12m";""
"49";"XAUUSD_DukasM1_Infinox";"Buy";"2007.07.06 20:00:00";"653.81";"0.17";"2007.07.09 15:40:00";"661.14";"121.60";"11422.10";"IS";"PT";"-33.35";"124.61";"2d 19h 40m";""
"50";"XAUUSD_DukasM1_Infinox";"Buy";"2007.07.18 20:00:00";"672.05";"0.18";"2007.07.20 15:29:00";"679.00";"114.79";"11536.89";"IS";"PT";"-26.15";"125.10";"1d 19h 29m";""
"51";"XAUUSD_DukasM1_Infinox";"Buy";"2007.07.20 20:00:00";"684.50";"0.18";"2007.07.25 10:16:00";"679.06";"-106.01";"11430.88";"IS";"SL";"-97.92";"44.50";"4d 14h 16m";""
"52";"XAUUSD_DukasM1_Infinox";"Buy";"2007.08.31 16:00:00";"673.42";"0.18";"2007.09.04 18:14:00";"680.60";"123.63";"11554.51";"IS";"PT";"-51.21";"129.24";"4d 2h 14m";""
"53";"XAUUSD_DukasM1_Infinox";"Buy";"2007.09.04 20:00:00";"681.29";"0.19";"2007.09.06 15:22:00";"688.07";"117.80";"11672.31";"IS";"PT";"-66.23";"128.82";"1d 19h 22m";""
"54";"XAUUSD_DukasM1_Infinox";"Buy";"2007.09.06 20:00:00";"696.10";"0.16";"2007.09.07 15:37:00";"703.96";"122.79";"11795.11";"IS";"PT";"-73.47";"125.76";"19h 37m";""
"55";"XAUUSD_DukasM1_Infinox";"Buy";"2007.09.07 16:00:00";"703.14";"0.15";"2007.09.11 18:30:00";"711.51";"120.70";"11915.81";"IS";"PT";"-66.29";"125.55";"4d 2h 30m";""
"56";"XAUUSD_DukasM1_Infinox";"Buy";"2007.09.11 20:00:00";"712.39";"0.14";"2007.09.12 17:06:00";"705.46";"-99.66";"11816.15";"IS";"SL";"-97.02";"19.70";"21h 6m";""
"57";"XAUUSD_DukasM1_Infinox";"Buy";"2007.09.19 00:00:00";"723.42";"0.12";"2007.09.20 16:06:00";"733.80";"118.90";"11935.04";"IS";"PT";"-43.18";"124.56";"1d 16h 6m";""
"58";"XAUUSD_DukasM1_Infinox";"Buy";"2007.10.04 20:00:00";"734.54";"0.1";"2007.10.11 11:24:00";"747.01";"114.20";"12049.24";"IS";"PT";"-80.46";"124.70";"6d 15h 24m";""
"59";"XAUUSD_DukasM1_Infinox";"Buy";"2007.11.02 20:00:00";"806.96";"0.09";"2007.11.06 13:41:00";"820.42";"117.87";"12167.11";"IS";"PT";"-58.38";"121.14";"3d 17h 41m";""
"60";"XAUUSD_DukasM1_Infinox";"Buy";"2007.12.06 20:00:00";"802.89";"0.08";"2007.12.14 13:39:00";"790.76";"-107.43";"12059.68";"IS";"SL";"-97.04";"110.81";"7d 17h 39m";""
"61";"XAUUSD_DukasM1_Infinox";"Buy";"2007.12.26 20:00:00";"824.96";"0.14";"2007.12.28 13:20:00";"833.71";"112.82";"12172.50";"IS";"PT";"-53.35";"122.50";"1d 17h 20m";""
"62";"XAUUSD_DukasM1_Infinox";"Buy";"2008.01.02 20:00:00";"856.22";"0.12";"2008.01.03 13:00:00";"866.73";"119.53";"12292.02";"IS";"PT";"-39.60";"126.12";"17h 0m";""
"63";"XAUUSD_DukasM1_Infinox";"Buy";"2008.01.03 20:00:00";"865.53";"0.09";"2008.01.04 17:03:00";"855.43";"-92.86";"12199.16";"IS";"SL";"-90.90";"25.35";"21h 3m";""
"64";"XAUUSD_DukasM1_Infinox";"Buy";"2008.01.10 20:00:00";"890.70";"0.07";"2008.01.14 11:18:00";"909.05";"125.68";"12324.83";"IS";"PT";"-27.15";"128.45";"3d 15h 18m";""
