"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"USDJPY_DukasM1_the5ers";"Buy";"2003.05.30 18:01:00";"119.430";"0.2";"2003.06.02 10:40:00";"118.676";"-99.61";"9900.39";"IS";"SL";"-98.61";"26.29";"2d 16h 39m";""
"2";"USDJPY_DukasM1_the5ers";"Buy";"2003.06.17 13:12:00";"117.915";"0.3";"2003.06.18 13:00:00";"118.367";"87.17";"9987.56";"IS";"Exit After X Bars";"-68.07";"107.50";"23h 48m";""
"3";"USDJPY_DukasM1_the5ers";"Buy";"2003.06.19 06:01:00";"118.565";"0.26";"2003.06.20 06:00:00";"118.048";"-89.20";"9898.36";"IS";"Exit After X Bars";"-89.60";"85.52";"23h 59m";""
"4";"USDJPY_DukasM1_the5ers";"Buy";"2003.07.08 12:39:00";"118.533";"0.29";"2003.07.09 12:00:00";"118.211";"-62.51";"9835.85";"IS";"Exit After X Bars";"-83.44";"27.12";"23h 21m";""
"5";"USDJPY_DukasM1_the5ers";"Buy";"2003.07.16 00:18:00";"117.950";"0.32";"2003.07.16 04:13:00";"118.636";"141.95";"9977.80";"IS";"PT";"-40.80";"143.55";"3h 55m";""
"6";"USDJPY_DukasM1_the5ers";"Buy";"2003.07.17 13:07:00";"118.504";"0.25";"2003.07.18 13:00:00";"118.964";"73.95";"10051.75";"IS";"Exit After X Bars";"-59.51";"109.37";"23h 53m";""
"7";"USDJPY_DukasM1_the5ers";"Buy";"2003.07.29 14:19:00";"119.620";"0.25";"2003.07.30 14:00:00";"119.738";"18.04";"10069.79";"IS";"Exit After X Bars";"-57.22";"70.30";"23h 41m";""
"8";"USDJPY_DukasM1_the5ers";"Buy";"2003.08.13 15:51:00";"119.475";"0.26";"2003.08.14 15:00:00";"119.538";"9.41";"10079.20";"IS";"Exit After X Bars";"-79.06";"28.05";"23h 9m";""
"9";"USDJPY_DukasM1_the5ers";"Buy";"2003.08.27 15:05:00";"117.929";"0.27";"2003.08.27 21:54:00";"117.362";"-101.46";"9977.74";"IS";"SL";"-100.11";"14.30";"6h 49m";""
"10";"USDJPY_DukasM1_the5ers";"Buy";"2003.09.12 16:46:00";"117.456";"0.3";"2003.09.15 16:00:00";"117.558";"18.51";"9996.25";"IS";"Exit After X Bars";"-56.11";"45.91";"2d 23h 14m";""
