"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"1";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.01 19:00:00";"109.670";"0.1";"2003.12.02 15:00:00";"109.318";"-23.58";"9976.42";"IS";"Exit After X Bars";"-36.62";"9.81";"20h 0m";""
"2";"USDJPY_DukasM1_the5ers";"Buy";"2003.12.18 16:00:00";"107.830";"0.12";"2003.12.19 12:00:00";"107.658";"-14.18";"9962.24";"IS";"Exit After X Bars";"-32.17";"21.19";"20h 0m";""
"3";"USDJPY_DukasM1_the5ers";"Buy";"2004.01.20 12:00:00";"107.480";"0.09";"2004.01.21 00:00:00";"106.924";"-33.23";"9929.01";"IS";"TrailingStop";"-32.72";"25.31";"12h 0m";""
"4";"USDJPY_DukasM1_the5ers";"Buy";"2004.02.18 17:00:00";"106.000";"0.13";"2004.02.18 21:00:00";"106.899";"75.77";"10004.78";"IS";"PT";"0.00";"76.42";"4h 0m";""
"5";"USDJPY_DukasM1_the5ers";"Buy";"2004.02.26 10:00:00";"109.350";"0.08";"2004.02.27 06:00:00";"109.478";"6.24";"10011.03";"IS";"Exit After X Bars";"-4.19";"25.11";"20h 0m";""
"6";"USDJPY_DukasM1_the5ers";"Buy";"2004.03.04 11:00:00";"110.520";"0.14";"2004.03.05 05:00:00";"111.401";"79.86";"10090.89";"IS";"PT";"-6.41";"80.65";"18h 0m";""
"7";"USDJPY_DukasM1_the5ers";"Buy";"2004.03.22 03:00:00";"107.310";"0.08";"2004.03.22 10:00:00";"106.857";"-24.10";"10066.79";"IS";"TrailingStop";"-23.70";"17.79";"7h 0m";""
"8";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.05 07:00:00";"104.740";"0.09";"2004.04.06 03:00:00";"105.428";"39.98";"10106.77";"IS";"Exit After X Bars";"-8.83";"51.79";"20h 0m";""
"9";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.13 17:00:00";"106.756";"0.11";"2004.04.14 13:00:00";"107.468";"50.59";"10157.37";"IS";"Exit After X Bars";"-19.13";"52.80";"20h 0m";""
"10";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.22 17:00:00";"109.770";"0.08";"2004.04.23 00:00:00";"109.368";"-21.48";"10135.88";"IS";"Exit Signal";"-23.02";"6.80";"7h 0m";""
"11";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.23 03:00:00";"109.710";"0.09";"2004.04.23 05:00:00";"109.430";"-16.93";"10118.96";"IS";"Exit Signal";"-17.77";"6.18";"2h 0m";""
"12";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.27 14:00:00";"109.340";"0.1";"2004.04.27 19:00:00";"109.468";"7.87";"10126.83";"IS";"Exit Signal";"0.00";"34.66";"5h 0m";""
"13";"USDJPY_DukasM1_the5ers";"Buy";"2004.04.28 17:00:00";"109.830";"0.09";"2004.04.29 13:00:00";"110.668";"48.69";"10175.52";"IS";"Exit After X Bars";"-10.00";"58.85";"20h 0m";""
"14";"USDJPY_DukasM1_the5ers";"Buy";"2004.05.03 19:00:00";"110.575";"0.1";"2004.05.03 22:00:00";"110.378";"-13.38";"10162.14";"IS";"Exit Signal";"-17.98";"9.48";"3h 0m";""
"15";"USDJPY_DukasM1_the5ers";"Buy";"2004.05.11 15:00:00";"113.850";"0.08";"2004.05.12 04:00:00";"112.708";"-60.19";"10101.94";"IS";"Exit Signal";"-63.82";"1.05";"13h 0m";""
"16";"USDJPY_DukasM1_the5ers";"Buy";"2004.05.13 04:00:00";"113.360";"0.08";"2004.05.14 00:00:00";"114.518";"60.13";"10162.07";"IS";"Exit After X Bars";"0.00";"67.48";"20h 0m";""
"17";"USDJPY_DukasM1_the5ers";"Buy";"2004.05.18 04:00:00";"114.630";"0.07";"2004.05.19 00:00:00";"114.328";"-14.22";"10147.85";"IS";"Exit After X Bars";"-57.68";"4.12";"20h 0m";""
"18";"USDJPY_DukasM1_the5ers";"Buy";"2004.06.01 18:00:00";"110.230";"0.09";"2004.06.02 14:00:00";"110.518";"16.44";"10164.29";"IS";"Exit After X Bars";"0.00";"41.20";"20h 0m";""
"19";"USDJPY_DukasM1_the5ers";"Buy";"2004.06.03 09:00:00";"110.930";"0.08";"2004.06.04 05:00:00";"111.025";"4.52";"10168.81";"IS";"Exit After X Bars";"-24.06";"32.43";"20h 0m";""
"20";"USDJPY_DukasM1_the5ers";"Buy";"2004.06.04 15:00:00";"111.550";"0.09";"2004.06.07 11:00:00";"110.078";"-87.14";"10081.67";"IS";"Exit After X Bars";"-95.93";"22.31";"2d 20h 0m";""
"21";"USDJPY_DukasM1_the5ers";"Buy";"2004.06.14 04:00:00";"110.540";"0.09";"2004.06.15 00:00:00";"111.008";"27.03";"10108.70";"IS";"Exit After X Bars";"-3.53";"55.91";"20h 0m";""
"22";"USDJPY_DukasM1_the5ers";"Buy";"2004.06.22 17:00:00";"108.940";"0.09";"2004.06.23 04:00:00";"108.640";"-18.16";"10090.54";"IS";"TrailingStop";"-17.66";"28.84";"11h 0m";""
